id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3
ENSG00000016082.10	0	4	1	2	1	0
ENSG00000016391.5	759.57	602.86	690.74	772.98	392.04	749.37
ENSG00000016402.8	27	17	28	29	9	21
ENSG00000016490.11	1	0	0	0	0	0
ENSG00000016602.8	0	1	1	0	0	0
ENSG00000016864.12	1229.53	1271.33	1176.11	1198.52	946.99	1352.72
ENSG00000017260.15	4924.53	5111.25	4554.13	5216.62	4075.44	5142.94
ENSG00000017373.11	303.59	419.48	221.15	274.9	215.37	336.17
ENSG00000017427.11	11.87	13.71	6.1	15.51	9.1	11.38
ENSG00000017483.10	3	13	3	14	4	9
ENSG00000017621.11	76.58	83.26	65.66	82.51	64.25	96.95
ENSG00000017797.7	4714.61	4675.36	4720.03	4558.83	3465.59	5151.5
ENSG00000018189.8	672.86	689.4	616	887.86	670.66	881.43
ENSG00000018236.10	8.81	6.41	5.96	6.6	3.44	3.53
ENSG00000018280.12	85.2	106.1	97.96	92.73	49.69	83.82
ENSG00000018408.10	1113.64	1087.74	1003.8	1051.96	691.56	1226.59
ENSG00000018510.8	5	1	1	2	0	5
ENSG00000018607.5	0	0	0	0	0	0
ENSG00000018610.8	2014.67	2236.57	2005.27	2133.87	1660.78	2124.03
ENSG00000018625.10	10.93	2.58	6.1	11.14	5.49	8.93
ENSG00000018699.7	1513	1211	1438	1641	1280	1676
ENSG00000018869.12	0	0	0	1	0	0
ENSG00000019102.7	7	4	4	9	4	4.18
ENSG00000019144.12	1387.96	1524.25	1134.39	1471.46	1186.11	2186
ENSG00000019169.9	0	0	0	0	0	0
ENSG00000019186.5	100	55	48	336	198	184
ENSG00000019485.8	165	204	164	172	129	213
ENSG00000019505.3	7.98	7.95	6.92	18.2	9.56	10.7
ENSG00000019549.4	38	19	72	77	44	103
ENSG00000019582.10	14.49	3.59	7.02	3.24	8.03	6.07
ENSG00000019991.11	1	0	0	0	0	0
ENSG00000019995.6	2452.45	2623.66	2416.64	2460.6	1974	2741.23
ENSG00000020129.11	2470.23	2448.77	2157.21	1653.54	1085.25	2017.89
ENSG00000020181.13	118.58	145.01	167.65	151.1	93.77	159.77
ENSG00000020219.8	1	2	0	2	0	0
ENSG00000020256.15	1376.75	1435.28	1209.61	1432.98	910.31	1489.57
ENSG00000020426.6	1910	1941.63	1859	1706	1439	1898
ENSG00000020577.9	476.05	345.56	525.02	895.99	481.27	792.08
ENSG00000020633.14	2	0	1	3	0	5
