id	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest	pval	qval
ENSG00000089199	920.0	751.0	48.0	5.0	1.1355443211085093e-06	5.35292073965808e-05
ENSG00000261115	622.0	439.0	27.0	2.0	1.1364809420505113e-06	5.35292073965808e-05
ENSG00000111860	674.0	302.0	60.0	30.0	1.1739681853032871e-06	5.498663564004425e-05
ENSG00000070882	1058.0	1144.0	161.0	97.0	1.17723394769051e-06	5.498663564004425e-05
ENSG00000088367	39.0	17.0	352.0	785.0	1.198853811860521e-06	5.57641129915205e-05
ENSG00000136425	1042.0	283.0	40.0	53.0	1.2382535713379834e-06	5.735877080454048e-05
ENSG00000149557	176.0	69.0	5.0	4.0	1.254443923511361e-06	5.786961474305497e-05
ENSG00000178026	8.0	13.0	228.0	320.0	1.287144469169009e-06	5.913479303026473e-05
ENSG00000099282	47.0	43.0	546.0	798.0	1.3062445946305782e-06	5.976735471758686e-05
ENSG00000186976	153.0	61.0	1.0	4.0	1.3211531468432666e-06	6.020376738257325e-05
ENSG00000166257	1041.0	994.0	21.0	0.0	1.342525131242406e-06	6.0929986725616896e-05
ENSG00000173826	228.0	140.0	16.0	7.0	1.3817193717055288e-06	6.245594418072168e-05
ENSG00000138119	17.0	17.0	262.0	372.0	1.4108182805082339e-06	6.351515230721808e-05
ENSG00000109991	218.0	153.0	8.0	0.0	1.4559107530063314e-06	6.528303816480391e-05
ENSG00000196739	218.0	239.0	3204.0	2778.0	1.4683413175762262e-06	6.54892881317301e-05
ENSG00000102024	72.0	69.0	968.0	854.0	1.4721945235678846e-06	6.54892881317301e-05
ENSG00000156284	54.0	133.0	1993.0	5264.0	1.6003579297704293e-06	7.063532053317759e-05
ENSG00000132164	951.0	122.0	16.0	3.0	1.600479162839171e-06	7.063532053317759e-05
ENSG00000013293	2797.0	316.0	32.0	4.0	1.6140181484710809e-06	7.095350370337575e-05
ENSG00000197959	707.0	382.0	66.0	21.0	1.6659916745618464e-06	7.295221356186835e-05
ENSG00000176402	0.0	0.0	70.0	63.0	1.6741638343335108e-06	7.302481160653173e-05
ENSG00000162490	152.0	221.0	9.0	13.0	1.682285853224209e-06	7.309466827381156e-05
ENSG00000198959	2.0	0.0	68.0	156.0	1.7140905099904545e-06	7.418901396522392e-05
ENSG00000177511	2832.0	404.0	73.0	21.0	1.8156106654691689e-06	7.828075215349762e-05
ENSG00000137331	8.0	10.0	178.0	299.0	1.8461175262116892e-06	7.92911014131534e-05
ENSG00000164692	43.0	38.0	2045.0	429.0	1.978184136695466e-06	8.463909989448922e-05
ENSG00000166405	766.0	396.0	62.0	15.0	2.0731777399205196e-06	8.82095553746754e-05
ENSG00000179520	1191.0	8360.0	136.0	93.0	2.0773704387969944e-06	8.82095553746754e-05
ENSG00000196811	277.0	191.0	14.0	1.0	2.1751585132729662e-06	9.201330918411303e-05
ENSG00000253117	500.0	486.0	6971.0	43638.0	2.2022025674895223e-06	9.280710820134416e-05
ENSG00000170412	16.0	8.0	172.0	424.0	2.263902677198092e-06	9.504999629734312e-05
ENSG00000142798	27.0	9.0	275.0	2110.0	2.330140733744457e-06	9.746596128834091e-05
ENSG00000169242	3.0	3.0	77.0	436.0	2.3938978395353557e-06	9.976057539476334e-05
ENSG00000024422	11.0	3.0	154.0	257.0	2.4459945762829558e-06	0.00010155407111159976
ENSG00000107317	23.0	3.0	290.0	1626.0	2.6372504972818646e-06	0.00010889724170696893
ENSG00000109472	10636.0	7361.0	1229.0	451.0	2.6422881127828323e-06	0.00010889724170696893
ENSG00000165995	1773.0	730.0	83.0	156.0	2.811582968054478e-06	0.00011527869072214654
ENSG00000163531	524.0	563.0	80.0	58.0	2.8176950274637065e-06	0.00011527869072214654
ENSG00000144749	21.0	24.0	513.0	274.0	2.870288924243847e-06	0.00011700341396644919
ENSG00000160188	109.0	110.0	5.0	6.0	2.923050712556073e-06	0.00011872245828896223
ENSG00000144278	1429.0	100.0	16.0	5.0	2.9885808844994997e-06	0.00012077913156810545
ENSG00000110076	158.0	48.0	3.0	3.0	2.9952362690395466e-06	0.00012077913156810545
ENSG00000120594	125.0	118.0	4875.0	1137.0	3.010732838964364e-06	0.0001209688714150198
ENSG00000120162	5234.0	2985.0	666.0	426.0	3.244160657522148e-06	0.00012988228918151172
ENSG00000118160	643.0	369.0	50.0	9.0	3.2785427483190452e-06	0.00013079168757529003
ENSG00000174483	721.0	435.0	90.0	68.0	3.3363350253546057e-06	0.0001326252327454792
ENSG00000119922	2.0	2.0	81.0	141.0	3.380301948444241e-06	0.00013389817965392205
ENSG00000165309	195.0	199.0	20.0	16.0	3.4193106532390768e-06	0.00013496645219299316
