ensgeneid	sym	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSMUSG00000086425	F730016J06Rik	35	7	0	0
ENSMUSG00000086549	Gm13648	14	3	35	29
ENSMUSG00000089665	2400009B08Rik	35	6	16	9
ENSMUSG00000089940	Gm4117	9	16	6	35
ENSMUSG00000090541	na	35	10	0	8
ENSMUSG00000090672	na	35	2	14	27
ENSMUSG00000091139	na	35	5	21	31
ENSMUSG00000091266	na	35	28	5	10
ENSMUSG00000091927	na	35	7	8	4
ENSMUSG00000003070	Efna2	33	2	36	27
ENSMUSG00000003581	Rnf215	27	14	15	36
ENSMUSG00000006205	Htra1	0	0	16	36
ENSMUSG00000006360	Crip1	1	0	20	36
ENSMUSG00000007682	Dio2	1	8	19	36
ENSMUSG00000016087	Fli1	1	36	14	5
ENSMUSG00000019864	Rtn4ip1	16	11	27	36
ENSMUSG00000020068	Pbld2	23	25	36	17
ENSMUSG00000020083	2010107G23Rik	36	25	21	30
ENSMUSG00000022090	Pdlim2	0	3	36	21
ENSMUSG00000022594	Lynx1	1	5	0	36
ENSMUSG00000024245	Tmem178	8	0	0	36
ENSMUSG00000024912	Fosl1	0	0	3	36
ENSMUSG00000024959	Bad	22	5	24	36
ENSMUSG00000025545	Clybl	13	14	9	36
ENSMUSG00000026435	Slc45a3	1	0	3	36
ENSMUSG00000026641	Usf1	14	3	36	22
ENSMUSG00000027242	Wdr76	10	36	20	21
ENSMUSG00000028069	Gpatch4	36	5	31	9
ENSMUSG00000028398	3110001D03Rik	36	32	35	32
ENSMUSG00000029149	Krtcap3	18	3	19	36
ENSMUSG00000029484	Anxa3	0	2	2	36
ENSMUSG00000030604	Zfp626	17	11	12	36
ENSMUSG00000032394	Igdcc3	10	13	36	26
ENSMUSG00000034175	Rhbdd3	0	0	15	36
ENSMUSG00000034732	Pabpc5	3	0	36	11
ENSMUSG00000035183	Slc24a5	36	16	4	0
ENSMUSG00000035722	Abca7	32	14	0	36
ENSMUSG00000035910	Dcdc2a	36	29	25	34
ENSMUSG00000037406	Htra4	11	0	36	3
ENSMUSG00000037962	Fam101a	1	7	36	8
ENSMUSG00000039109	F13a1	0	9	36	21
ENSMUSG00000039620	6430573F11Rik	5	2	8	36
ENSMUSG00000040621	Gemin8	8	22	36	34
ENSMUSG00000042642	Flad1	36	19	30	28
ENSMUSG00000043290	Zfp784	26	12	7	36
ENSMUSG00000043782	Ccdc64b	4	0	3	36
ENSMUSG00000043943	Naalad2	14	23	36	23
ENSMUSG00000044456	Rin3	22	2	29	36
ENSMUSG00000044795	Cyb5d1	30	28	15	36
ENSMUSG00000047495	Dlgap2	9	36	0	0
ENSMUSG00000048406	B330016D10Rik	16	14	36	9
ENSMUSG00000049517	Rps23	19	14	36	20
