ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
ANGPTL6	1	2	0.05	0.05	2	0.05
ANGPTL7	17	39	20	0.05	0.05	0.05
ANHX	0.05	0.05	0.05	0.05	0.05	0.05
ANK1	83	67	43	95	131	143
ANK2	73	78	68	1750	1047	956
ANK3	1303	1812	2216	1166	1192	1218
ANKAR	14	12	19	11	13	11
ANKDD1A	23	23	26	51	52	47
ANKDD1B	6	2	2	8	4	3
ANKEF1	57	68	59	261	276	215
ANKFN1	1	0.05	0.05	0.05	0.05	0.05
ANKFY1	1017	1091	1198	1186	851	853
ANKH	195	247	310	144	115	101
ANKHD1	217.043	292.412	95	1122.576	1031.706	826.861
ANKHD1-EIF4EBP3	787.957	787.588	1145	1288.28	1261.159	1209.139
ANKIB1	940	979	1050	1044	817	820
ANKK1	0.05	0.05	1	2	0.05	2
ANKLE1	7	4	9	52	43	56
ANKLE2	2142	2320	2362	923	849	884
ANKMY1	37	18	26	21	21	20
ANKMY2	284	282	297	101	135	144
ANKRA2	167	201	193	105	101	90
ANKRD1	7392	10063	9837	11	1	0.05
ANKRD2	5	5	1	2	0.05	1
ANKRD6	293	297	330	110	121	98
ANKRD7	0.05	3	1	5	4	12
ANKRD9	105	77	83	86	117	128
ANKRD10	582	505	517	1032	901	1137
ANKRD11	1528	1604	1811	2463	2369	2008
ANKRD12	481	552	511	672	645	558
ANKRD13A	356	350	356	301	268	255
ANKRD13B	60	51	62	351	204	294
ANKRD13C	446	450	422	399	352	369
ANKRD13D	183	143	179	113	147	145
ANKRD16	60	41	38	80	76	73
ANKRD17	1536	1388	1522	2324	2070	1857
ANKRD18A	22	35	29	96	71	83
ANKRD18B	4	5	6	48	38	48
ANKRD20A1	0.05	0.05	0.05	0.05	0.05	0.05
ANKRD20A2	0.05	0.05	0.05	0.05	0.05	1
ANKRD20A3	1	0.05	1	1	0.05	0.05
ANKRD20A4	0.05	0.05	0.05	0.05	1	0.05
ANKRD22	8	8	8	4	0.05	2
ANKRD23	10	20	13	58	58	51
ANKRD24	6	12	10	137	149	148
ANKRD26	226	207	199	332	267	265
ANKRD27	346	363	396	731	607	621
ANKRD28	478	566	580	1142	1004	922
ANKRD29	0.05	0.05	0.05	9	12	8
ANKRD30A	0.05	0.05	0.05	0.05	0.05	0.05
ANKRD30B	0.05	0.05	0.05	5	4	3
ANKRD31	3	7	3	9	11	8
ANKRD32	107	53	78	317	312	282
ANKRD33	2	0.05	2	2	4	2
ANKRD33B	328	291	308	773	642	738
ANKRD34A	6	1	6	2	1	5
ANKRD34B	150	163	235	93	46	102
ANKRD34C	1	0.05	0.05	0.05	0.05	0.05
ANKRD35	3	2	2	49	47	41
ANKRD36	66	72	55	74	43	58
ANKRD36B	79	71	72	76	47	45
ANKRD36C	62	45	42	60	30	33
ANKRD37	4	7	1	3	2	5
ANKRD39	38	35	39	44	89	61
ANKRD40	483	450	504	850	847	814
ANKRD42	103	93	72	99	56	67
ANKRD44	39	55	57	6	9	11
ANKRD45	4	2	0.05	21	19	18
ANKRD46	241	290	266	350	301	278
ANKRD49	132	129	148	199	156	150
ANKRD50	1963	2238	2108	941	942	911
ANKRD52	2140	2142	2259	882	850	875
ANKRD53	8	10	15	9	19	20
ANKRD54	126	110	119	105	84	106
ANKRD55	1	0.05	0.05	0.05	0.05	0.05
ANKRD60	0.05	0.05	0.05	0.05	0.05	0.05
ANKRD61	8	4	6	14	6	15
ANKRD62	1	0.05	0.05	1	0.05	1
ANKRD63	1	3	6	7	0.05	1
ANKRD65	112	34	40	85	49	67
ANKRD66	0.05	0.05	0.05	0.05	0.05	0.05
ANKS1A	1318	1568	2023	782	691	643
ANKS1B	11	17	11	33	19	19
ANKS3	97	83	72	112	135	132
ANKS4B	2	0.05	0.05	1	0.05	1
ANKS6	236	263	224	628	541	489
ANKUB1	0.05	0.05	0.05	0.05	0.05	0.05
ANKZF1	290	277	314	445	416	385
ANLN	1253	917	1032	1984	1971	1780
ANO1	14	5	8	116	65	91
ANO1-AS2	0.05	0.05	0.05	0.05	0.05	0.05
ANO2	5	7	7	23	16	21
ANO3	6	3	3	1	0.05	0.05
ANO4	205	54	120	9	11	12
ANO5	30	34	35	185	145	135
ANO6	4177	4859	4931	854	665	641
ANO7	2	9	3	9	10	7
ANO8	218	185	237	416	357	323
ANO9	118	81	87	122	70	69
ANO10	656	644	700	658	745	687
ANP32A	977	938	1093	3117	3434	3157
ANP32A-IT1	0.05	0.05	0.05	0.05	0.05	0.05
ANP32B	1059	1029	1189	1005	995	1063
ANP32C	54	45	43	142	145	160
ANP32D	4	1	4	15	10	7
ANP32E	1500	1491	1674	4898	4751	4661
ANPEP	23	5	5	5	16	18
ANTXR1	1896	1412	1523	672	460	442
ANTXR2	398	388	488	22	33	39
ANTXRL	0.05	0.05	0.05	0.05	0.05	0.05
ANXA1	6758	7381	7374	374	716	492
ANXA2	9494	8597	9444	1012	931	799
ANXA2R	1	1	0.05	0.05	1	0.05
ANXA3	2355	3049	3379	327	569	463
ANXA4	972	1118	1201	269	271	247
ANXA5	5699	6227	6336	4115	4722	4321
ANXA6	1131	1006	1240	674	649	662
ANXA7	882	1019	1047	1523	1939	1624
ANXA8	357	467	474	0.05	1	1
ANXA8L1	482	630	590	0.05	3	1
ANXA8L2	478	561	576	2	0.05	0.05
ANXA9	15	9	8	143	30	56
ANXA10	0.05	0.05	0.05	0.05	1	1
ANXA11	1455	1391	1573	456	406	370
ANXA13	0.05	1	0.05	0.05	0.05	0.05
AOAH	1	1	0.05	0.05	0.05	1
AOAH-IT1	0.05	0.05	0.05	0.05	0.05	0.05
AOC1	13	9	11	0.05	0.05	0.05
AOC2	10	10	6	38	23	28
AOC3	2	5	5	27	15	14
AOX1	1	3	3	95	57	71
AP1AR	170	177	192	454	429	401
AP1B1	912	877	1078	1365	1421	1268
AP1G1	1658	1689	1817	1491	1532	1430
AP1G2	676	621	662	745.049	708	698
AP1M1	601	543	653	450	602	474
AP1M2	428	598	680	1101	1018	1093
AP1S1	1191	1358	1325	493	666	599
AP1S2	553	577	588	9748	4918	6485
AP1S3	114	120	164	134	147	133
AP2A1	1260	1198	1375	1426	1287	1263
AP2A2	948	1011	1098	1226	1121	1110
AP2B1	4181	4307	4705	4433	4142	3726
AP2M1	3363	3133	3358	5243	4670	4639
AP2S1	611	606	655	804	862	846
AP3B1	1300	1453	1501	1323	1195	1151
AP3B2	22	23	39	83	114	95
AP3D1	2020	1936	2286	3422	3744	3329
AP3M1	1010	1048	1123	1192	1022	982
AP3M2	170	172	173	422	339	393
AP3S1	645	751	720	627	648	592
AP3S2	358	379	376	707	685	703
AP4B1	115	126	126	202	205	189
AP4B1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
AP4E1	299	375	356	276	298	272
AP4M1	146	104	129	142	167	176
AP4S1	71	87	69	132	123	133
AP5B1	444	411	446	327	283	248
AP5M1	331	418	379	738	696	636
AP5S1	68	82	83	47	54	51
AP5Z1	305	251	325	300	322	261
APAF1	762	724	739	296	259	295
APBA1	16	11	14	33	38	41
APBA2	80	68	70	264	166	155
APBA3	110	103	115	181	174	154
APBB1	287	362	368	436	378	397
APBB1IP	16	28	37	4	2	2
APBB2	2088	2254	2296	673	586	504
APBB3	131	131	147	103	100	95
APC	535	502	557	623	540	557
APC2	18	14	23	12	16	11
APCDD1	545	131	234	32	21	23
APCDD1L	78	37	32	5	10	23
APCDD1L-AS1	0.05	0.05	0.05	0.05	0.05	0.05
APCS	0.05	0.05	0.05	0.05	0.05	0.05
APEH	757	684	767	1605	1497	1634
APEX1	1113	1015	1117	4095	4089	4267
APEX2	231	203	223	301	268	284
APH1A	1145	1096	1280	1025	1240	1193
APH1B	110	125	110	206	133	183
API5	1093	1197	1230	2742	2510	2457
APIP	70	88	94	326	348	320
APITD1	38.89	35.605	35.214	120.186	136.267	114.776
APITD1-CORT	10.11	10.995	14.186	22.814	29.733	27.224
APLF	74	68	88	122	114	122
APLN	5	0.05	1	18	14	27
APLNR	154	3	1	1	6	2
APLP1	285	194	215	114	107	126
APLP2	14431	14536	14731	6543	5215	5263
APMAP	1600	1466	1730	983	1013	941
APOA1	6	0.05	0.05	0.05	2	1
APOA1BP	357	356	387	519	622	548
APOA2	0.05	0.05	0.05	2	0.05	3
APOA4	0.05	0.05	0.05	0.05	0.05	0.05
APOA5	0.05	0.05	0.05	0.05	0.05	0.05
APOB	3	1	3	32	33	44
APOBEC1	0.05	0.05	0.05	0.05	0.05	0.05
APOBEC2	0.05	0.05	3	4	3	1
APOBEC3A	2	1	1	20	21	8
APOBEC3B	22	11	21	261	177	152
APOBEC3C	109	91	89	77	65	70
APOBEC3D	4	4	4	35	37	42
APOBEC3F	37	23	33	45	49	50
APOBEC3G	11	3	4	13	27	22
APOBEC3H	0.05	0.05	0.05	1	1	4
APOBEC4	0.05	0.05	0.05	0.05	0.05	0.05
APOBR	4	1	1	4	3	0.05
APOC1	15	4	7	132	118	145
APOC2	0.05	0.05	0.05	1	0.05	0.05
APOC3	0.05	0.05	0.05	0.05	0.05	0.05
APOC4	0.05	0.05	0.05	0.05	0.05	0.05
APOC4-APOC2	0.05	0.05	0.05	0.05	0.05	0.05
APOD	0.05	0.05	0.05	0.05	0.05	0.05
APOE	1491	1264	1265	7463	8206	8174
APOF	2	0.05	1	0.05	0.05	1
APOH	0.05	0.05	0.05	0.05	0.05	0.05
APOL1	30	28	18	0.05	0.05	0.05
APOL2	178	186	224	288	241	213
APOL3	1	2	4	2	0.05	0.05
APOL4	0.05	0.05	1	0.05	2	2
APOL5	0.05	0.05	0.05	0.05	0.05	0.05
APOL6	86	165	123	5	1	7
APOLD1	39	32	41	9	8	8
APOM	4	7	6	27	23	21
APOO	139	130	133	419	431	407
APOOL	247	273	282	214	215	204
APOPT1	310	308	325	283	302	300
APP	13878	12172	12062	6888	7363	7056
APPBP2	1147	1052	1076	330	373	298
APPL1	636	702	758	1203	1044	974
APPL2	362	339	362	341	269	284
APRT	334	358	381	1054	1167	1037
APTX	226	228	291	516	609	502
AQP1	764	35	30	2	2	3
AQP2	0.05	0.05	0.05	0.05	0.05	0.05
AQP3	46	15	12	3	7	2
AQP4	3	0.05	0.05	9	3	5
AQP4-AS1	0.05	0.05	0.05	0.05	0.05	0.05
AQP5	0.05	0.05	0.05	8	10	11
AQP6	0.05	0.05	0.05	0.05	0.05	2
AQP7	0.05	0.05	0.05	0.05	0.05	0.05
AQP8	0.05	0.05	0.05	1	0.05	0.05
AQP9	0.05	1	0.05	0.05	0.05	0.05
AQP10	1	0.05	0.05	1	0.05	0.05
AQP11	11	15	11	22	23	32
AQP12A	0.05	0.05	0.05	0.05	0.05	0.05
AQP12B	0.05	0.05	0.05	1	0.05	0.05
AQPEP	24	11	12	0.05	4	4
AQR	612	530	665	1454	1387	1302
AR	27	19	17	262	184	182
ARAF	463	424	420	486	496	484
ARAP1	369	244	284	810	722	747
ARAP2	400	485	515	29	28	37
ARAP3	174	157	132	199	217	229
ARC	1	0.05	0.05	24	49	39
ARCN1	3761	4040	4197	2739	2674	2475
AREG	29	11	15	0.05	2	3
AREGB	13	6	15	0.05	2	0.05
AREL1	750	636	741	637	546	511
ARF1	3759	3902	4395	2765	2823	2769
ARF3	1886	1912	2165	4211	3866	3718
ARF4	3828	4079	4339	1703	1774	1782
ARF5	979	973	1092	1106	1183	1165
ARF6	1679	1599	1778	1237	1101	1045
ARFGAP1	2023	1652	1866	930	931	940
ARFGAP2	521	508	650	875	931	789
ARFGAP3	904	918	1048	286	297	273
ARFGEF1	1488	1841	1961	2740	2303	2378
ARFGEF2	818	819	970	981	884	866
ARFIP1	447	445	485	714	707	668
ARFIP2	365	314	356	437	507	474
ARFRP1	196	188	189	239	249	277
ARG1	0.05	0.05	0.05	3	1	3
ARG2	21	23	24	204	239	237
ARGFX	1	0.05	0.05	1	4	3
ARGLU1	882	797	797	1647	1442	1478
ARHGAP1	1542	1627	1781	710	834	794
ARHGAP4	58	29	60	215	271	229
ARHGAP5	1819	2151	2176	1555	1340	1244
ARHGAP5-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ARHGAP6	35	6	8	4	3	4
ARHGAP8	102.75	130	173	273	204.667	203.167
ARHGAP9	1	5	3	16	49	34
ARHGAP10	384	358	434	126	119	107
ARHGAP11A	406	270	301	1659	1609	1508
ARHGAP11B	20	8	31	124	78	107
ARHGAP12	401	434	400	698	695	654
ARHGAP15	0.05	2	1	0.05	0.05	1
ARHGAP17	586	485	567	933	937	851
ARHGAP18	237	270	258	172	148	162
ARHGAP19	204	164	180	878	878	872
ARHGAP19-SLIT1	0.05	0.05	0.05	0.05	0.05	0.05
ARHGAP20	3	1	7	2	0.05	1
ARHGAP21	1339	1356	1497	891	867	771
ARHGAP22	28	22	14	229	155	160
ARHGAP23	706	595	575	471	515	597
ARHGAP24	17	24	31	10	4	2
ARHGAP25	4	3	6	16	4	15
ARHGAP26	62	81	66	294	280	224
ARHGAP26-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ARHGAP27	134	118	110	144	143	117
ARHGAP28	472	432	490	154	127	113
ARHGAP29	3982	4279	5286	95	93	94
ARHGAP30	10	10	12	10	9	8
ARHGAP31	788	934	1188	46	75	66
ARHGAP32	715	614	702	668	496	491
ARHGAP33	86	73	106	170	153	175
ARHGAP35	1097	1014	1174	1986	1754	1735
ARHGAP36	1	0.05	0.05	20	11	7
ARHGAP39	119	95	110	250	249	243
ARHGAP40	80	67	56	34	11	22
ARHGAP42	300	344	355	582	576	549
ARHGAP44	78	114	132	359	342	326
ARHGDIA	2634	2513	3068	2070	2633	2266
ARHGDIB	506	553	503	1	4	1
ARHGDIG	5	0.05	0.05	10	8	12
ARHGEF1	614	504	612	486	531	449
ARHGEF2	466	473	467	978	993	897
ARHGEF3	214	208	197	48	72	54
ARHGEF3-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ARHGEF4	59	20	17	577	217	280
ARHGEF5	396	425	499	250	331	272
ARHGEF6	46	32	31	192	168	201
ARHGEF7	596	615	721	1023	1048	909
ARHGEF9	152	101	132	803	529	610
ARHGEF10	711	695	810	882	744	818
ARHGEF10L	274	243	304	432	394	464
ARHGEF11	569	527	671	1032	1013	927
ARHGEF12	1415	1541	1617	1026	915	874
ARHGEF15	0.05	1	0.05	8	1	3
ARHGEF16	128	113	141	428	451	453
ARHGEF17	1035	938	1268	101	94	92
ARHGEF18	1071	1115	1265	557	514	525
ARHGEF19	113	88	116	551	307	397
ARHGEF25	46	17	30	86	71	75
ARHGEF26	114	136	181	227	134	143
ARHGEF26-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ARHGEF28	17	27	17	20	9	8
ARHGEF33	20	7	7	12	10	5
ARHGEF35	119	159	187	120	130	111
ARHGEF37	46	37	29	3	6	2
ARHGEF38	7	5	4	16	9	3
ARHGEF38-IT1	0.05	0.05	0.05	0.05	0.05	0.05
ARHGEF39	171	128	154	344	342	370
ARHGEF40	1274	1173	1429	548	518	537
ARID1A	1611	1431	1774	3394	2917	2697
ARID1B	849	726	840	2252	1720	1810
ARID2	474	494	540	1391	1156	1160
ARID3A	1051	1034	1310	489	386	414
ARID3B	446	422	590	1174	1417	1236
ARID3C	2	0.05	1	0.05	0.05	0.05
ARID4A	243	228	256	328	277	239
ARID4B	758	703	778	965	660	685
ARID5A	35	39	42	9	17	13
ARID5B	628	680	849	1	10	10
ARIH1	944	1033	1033	1118	1124	1004
ARIH2	610	552	603	1300	1286	1213
ARIH2OS	10	4	5	6	12	5
ARL1	1399	1646	1645	985	1018	865
ARL2	229	221	240	1037	1081	1020
ARL2-SNX15	0.05	0.05	0.05	0.05	0.05	0.05
ARL2BP	789	749	745	419	430	381
ARL3	325	264	337	396	325	353
ARL4A	347	296	337	272	330	312
ARL4C	1048	729	694	1020	538	556
ARL4D	224	207	247	32	33	37
ARL5A	502	554	622	754	772	731
ARL5B	1227	1403	1530	1707	1240	1252
ARL5C	1	1	0.05	0.05	0.05	0.05
ARL6	35	33	35	46	50	46
ARL6IP1	2910	2479	2647	4170	3565	3737
ARL6IP4	767	761	893	819	870	827
ARL6IP5	2145	2139	2376	441	316	362
ARL6IP6	289	314	325	455	394	427
ARL8A	498	454	503	423	466	424
ARL8B	1068	1172	1101	830	788	810
ARL9	4	5	3	11	6	6
ARL10	106	94	107	58	58	42
ARL11	8	6	3	21	6	12
ARL13A	1	0.05	0.05	0.05	0.05	0.05
ARL13B	113	118	116	125	117	108
ARL14	0.05	0.05	2	0.05	0.05	0.05
ARL14EP	165	140	156	340	332	366
ARL14EPL	0.05	0.05	0.05	0.05	0.05	0.05
ARL15	300	278	245	190	150	151
ARL16	118	117	139	216	243	257
ARL17A	39	32	39	137	99	99
ARL17B	9	11	10	25	21	31
ARMC1	561	501	526	849	727	721
ARMC2	27	19	16	34	35	35
ARMC3	3	0.05	1	2	1	2
ARMC4	0.05	0.05	0.05	66	68	64
ARMC5	149	136	160	146	150	156
ARMC6	216	185	229	673	728	695
ARMC7	133	115	108	142	148	141
ARMC8	425	468	483	747	655	654
ARMC9	269	207	173	208	171	215
ARMC10	205	244	282	467	509	498
ARMC12	4	3	2	18	10	22
ARMCX1	338	406	413	691	705	730
ARMCX2	1092	1246	1278	2007	2830	2480
ARMCX3	1729	2245	2171	803	997	995
ARMCX4	163	136	149	569	461	550
ARMCX5	142	138	153	271	214	212
ARMCX5-GPRASP2	84.14	179	194	206	240.927	299
ARMCX6	231	294	358	300	329	300
ARMS2	0.05	1	0.05	0.05	0.05	0.05
ARNT	457	449	505	507	492	537
ARNT2	69	59	69	189	147	144
ARNTL	251	301	315	133	119	192
ARNTL2	230	234	231	242	255	246
ARPC1A	822	832	913	1138	1079	1069
ARPC1B	989	1051	1055	262	328	292
ARPC2	4857	5384	5388	2284	2226	2115
ARPC3	1196	1400	1426	899	932	874
ARPC4	1293.405	1260.833	1420.619	1194.071	1308.595	1251.31
ARPC4-TTLL3	49.629	42.081	55.098	40.929	45.279	43.19
ARPC5	2279	2372	2628	1204	1313	1192
ARPC5L	459	472	475	581	601	592
ARPP19	2129	2160	2335	2965	2762	2561
ARPP21	1	0.05	0.05	1	0.05	0.05
ARR3	3	4	0.05	2	0.05	0.05
ARRB1	209	241	281	148	145	132
ARRB2	82	56	95	475	430	445
ARRDC1	212	211	222	144	158	163
ARRDC2	34	28	25	37	22	34
ARRDC3	1293	1466	1521	772	830	770
ARRDC3-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ARRDC4	482	691	716	127	112	75
ARRDC5	1	0.05	0.05	0.05	0.05	0.05
ARSA	649	635	690	170	180	159
ARSB	685	646	668	235	221	235
ARSD	941	1064	1218	142	128	138
ARSE	17	7	10	23	14	23
ARSF	1	0.05	1	0.05	1	0.05
ARSG	124	108	134	127	113	118
ARSH	1	0.05	0.05	0.05	0.05	0.05
ARSI	1228	890	1161	59	48	56
ARSJ	758	906	1101	24	19	17
ARSK	177	155	154	198	150	173
ART1	0.05	0.05	0.05	0.05	0.05	0.05
ART3	5	0.05	2	25	16	16
ART4	135	140	108	0.05	0.05	0.05
ART5	4	7	0.05	32	29	40
ARTN	8	1	4	29	26	39
ARV1	134	99	99	167	146	132
ARVCF	228	234	232	660	585	575
ARX	1	0.05	0.05	5	9	2
AS3MT	49	37	32	175	178	175
ASAH1	2100	2495	2455	735	800	728
ASAH2	8	10	13	10	9	7
ASAH2B	53	45	51	62	63	40
ASAP1	1652	1747	1855	595	645	529
ASAP1-IT1	0.05	0.05	0.05	0.05	0.05	0.05
ASAP1-IT2	0.05	0.05	0.05	0.05	0.05	0.05
ASAP2	2088	2346	2193	340	304	250
ASAP3	238	280	221	178	129	140
ASB1	479	488	531	499	350	375
ASB2	3	0.05	0.05	8	6	12
ASB3	158.44	178.714	153.452	375	399	345
ASB4	5	0.05	0.05	0.05	1	0.05
ASB5	0.05	0.05	0.05	0.05	0.05	0.05
ASB6	324	293	355	423	397	401
ASB7	211	193	180	236	221	192
ASB8	169	155	179	145	164	138
ASB9	5	1	5	8	8	9
ASB10	0.05	0.05	0.05	0.05	0.05	0.05
ASB11	0.05	0.05	0.05	0.05	0.05	0.05
ASB12	1	2	2	5	4	5
ASB13	70	59	54	118	142	119
ASB14	29	35	46	64	60	53
ASB15	0.05	0.05	0.05	0.05	0.05	0.05
ASB16	34	19	28	47	26	26
ASB16-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ASB17	0.05	0.05	0.05	0.05	0.05	0.05
ASB18	0.05	0.05	0.05	1	2	1
ASCC1	230	223	216	363	432	391
ASCC2	530	559	687	647	672	639
ASCC3	1562	1973	1899	2248	1787	1769
ASCL1	1	1	1	1	0.05	2
ASCL2	1	1	0.05	1	2	0.05
ASCL3	0.05	0.05	0.05	2	1	0.05
ASCL4	6	1	1	0.05	0.05	0.05
ASCL5	0.05	2	1	1	2	1
ASF1A	293	310	325	742	803	764
ASF1B	61	48	51	367	256	327
ASGR1	8	7	13	18	17	17
ASGR2	0.05	0.05	0.05	0.05	0.05	0.05
ASH1L	679	655	833	632	558	495
ASH1L-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ASH2L	519	515	544	1365	1152	1116
ASIC1	22	11	15	16	10	9
ASIC2	3	2	1	5	2	12
ASIC3	12	14	16	13	10	8
ASIC4	1	0.05	0.05	1	1	0.05
ASIC5	0.05	0.05	0.05	0.05	0.05	0.05
ASIP	1	0.05	0.05	0.05	0.05	0.05
ASL	246	270	302	345	389	298
ASMT	0.05	0.05	0.05	1	1	1
ASMT	0.05	0.05	0.05	2	1	1
ASMTL	178	149	173	264	308	300
ASMTL	112	100	135	187	200	221
ASMTL-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ASMTL-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ASNA1	281	293	313	799	933	885
ASNS	828	1254	1210	2807	3049	3136
ASNSD1	391	455	471	722	731	729
ASPA	0.05	0.05	0.05	0.05	1	0.05
ASPDH	5	1	1	1	0.05	0.05
ASPG	2	0.05	1	9	7	10
ASPH	2072	2231	2177	997	722	751
ASPHD1	34	14	13	46	62	67
ASPHD2	77	66	58	96	89	91
ASPM	408	248	314	1971	1408	1524
ASPN	1	0.05	0.05	0.05	0.05	0.05
ASPRV1	4	2	4	7	8	6
ASPSCR1	160	162	208	399	485	388
ASRGL1	15	11	18	206	163	190
ASS1	147	269	312	1657	1009	1182
ASTE1	126	149	128	143	124	105
ASTL	1	0.05	0.05	2	1	1
ASTN1	3	2	3	33	18	32
ASTN2	29	24	39	155	114	111
ASUN	286	313	361	840	939	903
ASXL1	972	866	1129	445	315	325
ASXL2	315	304	317	676	626	565
ASXL3	115	82	100	13	1	6
ASZ1	0.05	0.05	0.05	0.05	0.05	0.05
ATAD1	865	911	936	798	708	641
ATAD2	400	375	391	585	462	428
ATAD2B	331	302	312	519	388	446
ATAD3A	324	270	309	722	818	765
ATAD3B	367	271	332	869	962	956
ATAD3C	98	62	85	158	180	163
ATAD5	74	61	70	514	474	364
ATAT1	201	118	144	255	228	218
ATCAY	3	2	1	437	265	369
ATE1	272	291	305	431	500	428
ATF1	256	304	349	326	314	288
ATF2	426	433	411	600	685	614
ATF3	870	1244	1296	208	488	443
ATF4	2270	2892	3168	3083	3768	3350
ATF5	140	131	137	267	483	418
ATF6	852	876	896	416	439	404
ATF6B	908	796	911	590	567	523
ATF7	372	391	458	396	370	354
ATF7IP	1270	1190	1266	2455	1690	1952
ATF7IP2	61	32	46	198	171	175
ATG2A	261	203	276	484	528	421
ATG2B	361	383	399	673	644	612
ATG3	362	406	363	786	1083	999
ATG4A	215	301	298	135	166	138
ATG4B	439	443	469	612	614	569
ATG4C	101	111	81	330	304	310
ATG4D	175	148	188	331	394	395
ATG5	374	385	433	673	677	625
ATG7	536	556	599	515	472	505
ATG9A	701	554	692	501	561	560
ATG9B	74	41	42	16	11	8
ATG10	77	83	100	115	157	133
ATG12	491	575	613	515	448	445
ATG13	827	889	976	1037	998	928
ATG14	258	208	222	513	478	419
ATG16L1	489	520	496	451	371	351
ATG16L2	97	65	74	103	80	79
ATHL1	247	217	293	524	541	538
ATIC	962	994	1128	3174	3230	3082
ATL1	229	213	254	123	112	147
ATL2	543	458	551	1392	1027	1085
ATL3	733	780	733	365	317	310
ATM	835	778	847	1354	1099	1102
ATMIN	950	1028	1109	1412	1315	1201
ATN1	1520	1354	1603	1916	2004	1912
ATOH1	0.05	0.05	0.05	1	4	5
ATOH7	0.05	1	0.05	4	0.05	1
ATOH8	5	2	0.05	4	3	0.05
ATOX1	222	237	321	206	233	213
ATP1A1	5702	5233	6008	6042	5410	5313
ATP1A1OS	0.05	0.05	0.05	0.05	0.05	0.05
ATP1A2	0.05	3	1	620	301	532
ATP1A3	2	1	1	175	202	264
ATP1A4	11	7	12	3	1	2
ATP1B1	2084	2237	2928	681	660	634
ATP1B2	1	4	1	264	187	240
ATP1B3	683	611	588	1742	1555	1605
ATP1B4	0.05	0.05	0.05	0.05	0.05	0.05
ATP2A1	13	6	11	35	29	31
ATP2A2	4829	4772	5160	4997	4786	4542
ATP2A3	8	4	8	220	334	372
ATP2B1	1947	2241	2491	699	512	603
ATP2B2	0.05	1	0.05	0.05	0.05	1
ATP2B3	0.05	0.05	0.05	0.05	1	1
ATP2B4	4597	5223	6083	1879	692	936
ATP2C1	3841	4568	4435	1940	2036	1780
ATP2C2	12	11	7	86	31	33
ATP4A	0.05	0.05	0.05	3	3	4
ATP4B	0.05	1	0.05	0.05	2	0.05
ATP5A1	2920	2866	3003	7517	7175	7329
ATP5B	3155	3303	3769	9285	9521	9538
ATP5C1	990	1098	1095	1864	1977	1904
ATP5D	246	190	250	408	485	495
ATP5E	644	725	722	529	588	571
ATP5F1	779	877	906	1799	1728	1778
ATP5G1	98	94	96	338	435	400
ATP5G2	575	544	638	1435	1365	1481
ATP5G3	1007	1037	1182	2352	2354	2489
ATP5H	419	476	489	1384	1423	1481
ATP5I	390	400	462	909	964	976
ATP5J	513	503	564	812	809	855
ATP5J2	379.8	368	443.2	797.8	745.4	820.2
ATP5J2-PTCD1	19.2	87.5	92.3	127.2	34.6	37.8
ATP5L	785	852	790	1275	1372	1414
ATP5L2	6	2	8	7	14	18
ATP5O	782	735	797	1954	1946	2029
ATP5S	44	46	46	92	84	92
ATP5SL	217	243	246	507	585	508
ATP6	0.05	0.05	0.05	0.05	0.05	0.05
ATP6AP1	1523	1480	1545	665	749	787
ATP6AP1L	13	8	10	15	10	1
ATP6AP2	2502	2517	2432	1252	1203	1228
ATP6V0A1	731	822	874	667	536	599
ATP6V0A2	271	262	297	583	455	435
ATP6V0A4	17	8	8	175	44	80
ATP6V0B	668	566	640	666	927	894
ATP6V0C	1512	1279	1481	1288	1655	1569
ATP6V0D1	680	647	672	628	653	596
ATP6V0D2	0.05	0.05	1	0.05	1	0.05
ATP6V0E1	777	723	671	656	749	639
ATP6V0E2	117	81	136	203	307	259
ATP6V0E2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ATP6V1A	978	1106	1090	1427	1587	1411
ATP6V1B1	3	5	6	34	9	24
ATP6V1B2	802	849	843	1189	1268	1291
ATP6V1C1	636	690	673	1374	1457	1342
ATP6V1C2	2525	2563	2596	1965	2048	1963
ATP6V1D	836	898	844	882	1036	870
ATP6V1E1	810	873	857	725	964	858
ATP6V1E2	61	41	59	42	41	54
ATP6V1F	437	466	463	399	508	464
ATP6V1G1	1157	1260	1355	1699	1960	1867
ATP6V1G2	12	10	12	95	70	85
ATP6V1G2-DDX39B	0.05	0.05	0.05	0.05	0.05	0.05
ATP6V1G3	0.05	0.05	0.05	0.05	0.05	0.05
ATP6V1H	677	738	793	767	692	630
ATP7A	237	279	284	71	60	51
ATP7B	546	279	279	121	72	80
