ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
FNDC1	88	48	49	9	4	5
FNDC3A	1374	1423	1599	873	804	713
FNDC3B	3385	4009	4105	619	633	602
FNDC4	74	92	72	98	93	103
FNDC5	24	12	14	96	35	50
FNDC7	3	0.05	0.05	1	1	3
FNDC8	9	6	9	23	13	14
FNDC9	1	3	2	0.05	0.05	0.05
FNIP1	372	361	333	396	312	301
FNIP2	303	311	312	332	327	325
FNTA	482	491	537	556	470	520
FNTB	262	256	274	312	258	289
FOCAD	920	924	999	1195	885	859
FOLH1	4	0.05	7	1	2	0.05
FOLH1B	2	9	0.05	0.05	0.05	0.05
FOLR1	59	32	21	4	1	2
FOLR2	0.05	0.05	0.05	0.05	1	0.05
FOLR3	0.05	0.05	0.05	0.05	0.05	0.05
FOLR4	0.05	0.05	0.05	0.05	1	0.05
FOPNL	317	361	343	669	792	710
FOS	158	183	209	311	412	225
FOSB	134	144	153	87	94	53
