id	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3	pval	qval
ENSG00000001036	820.0	729.0	771.0	728.0	707.0	798.0	5.602035092661086e-06	1.613672057433582e-05
ENSG00000165376	3.0	0.05	1.0	64.0	15.0	20.0	5.620867343556694e-06	1.6188880335927496e-05
ENSG00000087303	552.0	146.0	175.0	97.0	80.0	84.0	5.634009314173718e-06	1.6224639966989703e-05
ENSG00000196214	226.0	221.0	233.0	521.0	448.0	397.0	5.714663828080116e-06	1.645478579643169e-05
ENSG00000162543	10.0	5.0	10.0	39.0	31.0	43.0	5.750301830307881e-06	1.6555268616579517e-05
ENSG00000171425	122.0	93.0	127.0	237.0	275.0	271.0	5.775929359510738e-06	1.6626908849283328e-05
ENSG00000177409	6.0	13.0	7.0	0.05	1.0	0.05	5.796025123628918e-06	1.6682608634432692e-05
ENSG00000108826	164.0	178.0	231.0	382.0	401.0	427.0	5.875758498506224e-06	1.690992597116788e-05
ENSG00000159147	277.0	211.0	211.0	510.0	513.0	442.0	5.895110826942849e-06	1.6963435700449633e-05
ENSG00000180329	299.0	315.0	343.0	598.0	621.0	562.0	6.042248737072172e-06	1.7384592832155506e-05
ENSG00000132432	722.0	853.0	768.0	751.0	725.0	736.0	6.044185036675983e-06	1.7387925207852495e-05
ENSG00000114933	225.0	214.0	252.0	448.0	434.0	418.0	6.054354226625751e-06	1.7414938074707898e-05
ENSG00000162065	78.0	70.0	101.0	208.0	183.0	226.0	6.0648690594915915e-06	1.74429380788235e-05
ENSG00000204219	11.0	6.0	4.0	0.05	0.05	0.05	6.0907377198389685e-06	1.7515083750513632e-05
ENSG00000156508	7332.0	9003.0	8688.0	17680.0	15545.0	15216.0	6.0920772331763425e-06	1.751668166878432e-05
ENSG00000157349	313.0	333.0	328.0	586.0	629.0	600.0	6.126874168447926e-06	1.76144676498528e-05
ENSG00000181045	276.0	230.0	293.0	244.0	242.0	231.0	6.143999684714952e-06	1.7661430531814385e-05
ENSG00000204131	74.0	81.0	102.0	62.0	28.0	28.0	6.168016067137073e-06	1.7728187144991917e-05
ENSG00000150764	116.0	102.0	94.0	283.0	209.0	262.0	6.193254409405684e-06	1.7798438308511937e-05
ENSG00000101343	431.0	445.0	469.0	795.0	840.0	814.0	6.24065603037482e-06	1.793235698994292e-05
ENSG00000243667	100.0	121.0	128.0	269.0	249.0	250.0	6.247013800053492e-06	1.7948317998173748e-05
ENSG00000150977	23.0	17.0	20.0	54.0	97.0	82.0	6.251704044838903e-06	1.7959484546858846e-05
ENSG00000175745	26.0	6.0	10.0	1.0	1.0	1.0	6.280508139765054e-06	1.8039912005055224e-05
ENSG00000163374	394.0	333.0	409.0	707.0	736.0	674.0	6.295430188289727e-06	1.8080449610295663e-05
ENSG00000123329	1.0	5.0	3.0	16.0	49.0	34.0	6.393272636233692e-06	1.8359093241058122e-05
ENSG00000154813	531.0	610.0	639.0	578.0	581.0	502.0	6.407625156381262e-06	1.839794415645022e-05
ENSG00000108839	7.0	4.0	3.0	24.0	40.0	25.0	6.416323465945352e-06	1.8420552478607503e-05
ENSG00000085365	725.0	730.0	686.0	741.0	605.0	674.0	6.431768243578379e-06	1.8462520865670653e-05
ENSG00000158473	0.05	0.05	0.05	11.0	10.0	7.0	6.464613220539768e-06	1.8554419681402802e-05
ENSG00000171109	572.0	610.0	603.0	626.0	563.0	546.0	6.5436663815637585e-06	1.8778902353769785e-05
ENSG00000125851	0.05	0.05	0.05	34.0	8.0	7.0	6.659402137618226e-06	1.910858494727202e-05
ENSG00000120907	0.05	0.05	0.05	9.0	21.0	8.0	6.718436530204311e-06	1.927550406219999e-05
ENSG00000163467	4.0	5.0	2.0	25.0	24.0	19.0	6.729766656803472e-06	1.9305532153990655e-05
ENSG00000082068	272.0	307.0	325.0	603.0	572.0	535.0	6.732401778182647e-06	1.931061257053621e-05
ENSG00000126790	80.0	71.0	80.0	47.0	42.0	59.0	6.785150680367727e-06	1.9459415073688092e-05
ENSG00000133265	208.0	199.0	245.0	421.0	402.0	447.0	6.7903309988674736e-06	1.947177297981412e-05
ENSG00000134709	207.0	254.0	330.0	575.0	567.0	559.0	6.826988256485297e-06	1.957423981040078e-05
ENSG00000139970	7.0	1.0	4.0	22.0	30.0	26.0	6.827815783866921e-06	1.957423981040078e-05
ENSG00000126733	2.0	0.05	0.05	10.0	19.0	12.0	6.860640001918938e-06	1.9665818640698117e-05
ENSG00000180767	0.05	0.05	0.05	14.0	4.0	12.0	6.872072509332279e-06	1.969606314814011e-05
ENSG00000125843	68.0	82.0	83.0	47.0	54.0	51.0	6.9071944952677655e-06	1.9794187661675913e-05
ENSG00000144445	62.0	60.0	78.0	175.0	147.0	169.0	6.951627310741092e-06	1.9918965958857696e-05
ENSG00000198719	36.0	23.0	13.0	108.0	106.0	79.0	6.957001791556283e-06	1.993181013280875e-05
ENSG00000240230	164.0	199.0	204.0	162.0	152.0	123.0	6.963083616314284e-06	1.9946677294420626e-05
ENSG00000064545	105.0	109.0	103.0	229.0	235.0	227.0	7.03853159540655e-06	2.0160223732703178e-05
ENSG00000114446	249.0	212.0	210.0	449.0	525.0	416.0	7.045386592086709e-06	2.017727209706032e-05
ENSG00000225190	190.0	191.0	218.0	168.0	182.0	155.0	7.0482448027234765e-06	2.0182871169459448e-05
ENSG00000136144	377.0	358.0	369.0	829.0	668.0	653.0	7.133906618213567e-06	2.0425549160438e-05
ENSG00000078900	6.0	4.0	7.0	29.0	26.0	28.0	7.141665915706022e-06	2.044514581325679e-05
ENSG00000157181	448.0	477.0	432.0	419.0	449.0	416.0	7.162421251346922e-06	2.0501937710240767e-05
ENSG00000140157	847.0	882.0	893.0	734.0	908.0	810.0	7.16512904490415e-06	2.0507061829722473e-05
ENSG00000243317	408.0	372.0	398.0	405.0	370.0	377.0	7.187231599555079e-06	2.0567686586663765e-05
ENSG00000168491	6.0	3.0	7.0	32.0	27.0	23.0	7.22854318080913e-06	2.0683259214025815e-05
